Carga superior a la contratada	Aumento no autorizado de carga	Fraude- Tipo 1	No debe ser enviada este tipo de  irregularidad al contratista a cargo del proceso	Ninguno	Ninguno
	Servicio directo antes de equipo de medida (MI/ME)	Fraude - Tipo 1	Se procesa el acta	Carga Encontrada	Censo de Carga/Carga Contratada
	Acometida subterránea intervenida (Derivación)	Fraude - Tipo 1	Se procesa el acta	Carga Encontrada	Censo de Carga/Carga Contratada
	Derivación en acometida por  tubo	Fraude - Tipo 1	Se procesa el acta	Carga Encontrada	Censo de Carga/Carga Contratada
	Derivación en tablero de medidores	Fraude - Tipo 1	Se procesa el acta	Carga Encontrada	Censo de Carga/Carga Contratada
	Servicio a 120V, línea directa para 220V.	Fraude - Tipo 1	Se procesa el acta	Carga Encontrada	Censo de Carga/Carga Contratada
	Servicio a 220V, línea directa para trifásica	Fraude - Tipo 1	Se procesa el acta	Carga Encontrada	Censo de Carga/Carga Contratada
Devolución de lecturas	Devolución de lecturas	Fraude - Tipo 2	Se procesa el acta	Censo de Carga	Porcentaje de Error en caso de retiro de medidor y tiene porcentaje de error/Carga Contratada
Adulteración de Elementos de Seguridad	Sellos Tapa Verificadora (Medidor) repisados- Medidor Manipulado	Fraude - Tipo 2	Se procesa el acta	Porcentaje de Error	Censo de Carga/Carga Contratada
	Sellos Tapa Verificadora (Medidor) repisados- Medidor conforme	Anomalia- Tipo 2	El análisis es sobre la afectación en los consumos y se puede liquidar por cualquier método.	Censo de Carga	Carga Encontrada Medida/Carga Contratada
	Sellos Tapa a Verificadora violados- medidor manipulado	Fraude - Tipo 2	Se procesa el acta	Porcentaje de Error	Censo de Carga/Carga Contratada
	Sin sellos Tapa Verificadora (Medidor retirado Manipulado)	Fraude - Tipo 2	Se procesa el acta	Porcentaje de Error	Censo de Carga/Carga Contratada
	Sin sellos Tapa Verificadora (Medidor no retirado)	Anomalia- Tipo 2	Si el usuario no permitió el retiro del medidor se debe liquidar por cualquier método - si es solo por sellos sin una irregularidad y no amerita retirar el medidor es improcedente	Censo de Carga	Carga Encontrada Medida/Carga Contratada
	Sellos de TC adulterados	Fraude - Tipo 2	Directriz Medida Especial	Liquidacion Medida Especial	
	Sellos de TP adulterados	Fraude - Tipo 2	Directriz Medida Especial	Liquidacion Medida Especial	
	Sellos de Bloque de Prueba adulterados	Fraude - Tipo 2	Directriz Medida Especial	Liquidacion Medida Especial	
	Sellos de celda de medida adulterados	Fraude - Tipo 2	Directriz Medida Especial	Liquidacion Medida Especial	
Daño o retiro de los equipos de medida	Medidor retirado por particulares	Fraude - Tipo 2	Se procesa el acta(reporte del usuario donde indica robo del medidor)	Censo de Carga	Carga Encontrada Medida/Capacidad del Transformador/Carga Contratada
	Daño físico del medidor(manipulación)	Fraude - Tipo 2	Se procesa el acta	Porcentaje de Error	Censo de Carga/Carga Contratada/Carga Encontrada Medida
	Daño físico del medidor por desperfecto o tiempo	Anomalia- Tipo 2	El análisis es sobre la afectación en los consumos y se puede liquidar por cualquier método.	Porcentaje de Error	Censo de Carga/Carga Contratada/Carga Encontrada Medida
	Medidor con el vidrio roto resultado conforme	Anomalia- Tipo 2	improcedente	Ninguno	
	Medidor con el vidrio roto(manipulado)	Fraude - Tipo 2	Se procesa el acta	Censo de Carga	Porcentaje de Error/Carga Contratada/Carga Encontrada Medida
	Medidor volteado, inclinado   sin retiro del medidor	Fraude - Tipo 2	Se procesa el acta	Censo de Carga	Porcentaje de Error prueba en terreno/Carga Contratada/Carga Encontrada Medida
	Medidor volteado, inclinado   con retiro del medidor	Fraude - Tipo 2	Se procesa el acta	Censo de Carga	Porcentaje de Error Laboratorio/Carga Contratada/Carga Encontrada Medida
	Medidor trasladado por particulares	Fraude - Tipo 2	Se procesa el acta	Censo de Carga	Carga Encontrada Medida/Carga Contratada
	Medidor golpeado(con retiro medidor resultado manipulado)	Fraude - Tipo 2	Se procesa el acta	Censo de Carga	Porcentaje de Error Laboratorio/Carga Contratada/Carga Encontrada Medida
	Medidor golpeado(sin retiro medidor  y/o resultado conforme)	Anomalia- Tipo 2	El análisis es sobre la afectación en los consumos y se puede liquidar por cualquier método.	Porcentaje de Error	Censo de Carga/Carga Contratada/Carga Encontrada Medida
